User	Query	Wrong submissions	Time to correct	System	Score
6	1	0	12.764	B	97.87
6	2	3	113.422	B	51.10
6	3	0	12.79	B	97.87
6	4	0	75.069	A	87.49
6	5	1	130.226	A	68.30
6	6	0	76.812	A	87.20
6	7	0	12.212	A	97.96
6	8	1	N/A	B	0.00
3	1	0	7.752	A	98.71
3	2	7	185.261	A	9.12
3	3	0	41.199	B	93.13
3	4	1	46.284	B	82.29
3	5	1	77.333	B	77.11
3	6	0	15.808	B	97.37
3	7	0	18.894	A	96.85
3	8	3	N/A	A	0
7	1	0	10.724	B	98.21
7	2	4	N/A	B	0
7	3	2	73.225	A	67.8
7	4	0	42.74	A	92.88
7	5	0	73.76	A	87.71
7	6	0	70.186	A	88.3
7	7	0	10.708	B	98.22
7	8	0	N/A	B	0
1	1	0	9.267	A	98.46
1	2	2	47.866	A	72.02
1	3	2	49.413	A	71.76
1	4	1	54.921	A	80.85
1	5	8	N/A	B	0
1	6	3	149.029	B	45.16
1	7	0	16.26	B	97.29
1	8	1	N/A	B	0
8	1	0	17.871	B	97.02
8	2	0	17.34	A	97.11
8	3	2	72.782	A	67.87
8	4	2	47.859	A	72.02
8	5	0	15.83	A	97.36
8	6	6	113.433	B	21.09
8	7	0	11.736	B	98.04
8	8	0	N/A	B	0
2	1	0	13.568	A	97.74
2	2	0	32.059	A	94.66
2	3	0	50.969	A	91.51
2	4	1	49.868	B	81.69
2	5	1	70.176	B	78.3
2	6	0	23.988	B	96
2	7	0	13.254	B	97.79
2	8	1	148.342	A	65.28
5	1	0	44.516	B	92.58
5	2	0	57.835	B	90.36
5	3	0	45.785	B	92.37
5	4	0	60	B	90
5	5	1	83.006	A	76.17
5	6	0	73.864	A	87.69
5	7	0	23.962	A	96.01
5	8	3	214.593	A	34.23
4	1	0	27.077	A	95.49
4	2	0	49.898	B	91.68
4	3	3	112.457	B	51.26
4	4	0	49.915	B	91.68
4	5	0	54.971	B	90.84
4	6	1	85.447	A	75.76
4	7	0	22.33	A	96.28
4	8	15	N/A	A	0
