team,task,correct,incorrect,norm_score,top_3,precision,recall,time_correct_LSC24-KISJ03,time_correct_LSC24-QA02,time_correct_LSC24-AD03,time_correct_LSC24-KISJ05,time_correct_LSC24-AD04,time_correct_LSC24-QA04,time_correct_LSC24-KISJ06,time_correct_LSC24-AD05,time_correct_LSC24-QA05,time_correct_LSC24-KISJ02,time_correct_LSC24-AD01,time_correct_LSC24-QA01,time_correct_LSC24-AD02,time_correct_LSC24-KIS04,time_correct_LSC24-KISJ04,time_correct_LSC24-QA03,time_correct_full_LSC24-KISJ02,time_correct_full_LSC24-AD01,time_correct_full_LSC24-QA01,time_correct_full_LSC24-KISJ03,time_correct_full_LSC24-AD02,time_correct_full_LSC24-QA02,time_correct_full_LSC24-KIS04,time_correct_full_LSC24-KISJ04,time_correct_full_LSC24-AD03,time_correct_full_LSC24-QA03,time_correct_full_LSC24-KISJ05,time_correct_full_LSC24-AD04,time_correct_full_LSC24-QA04,time_correct_full_LSC24-KISJ06,time_correct_full_LSC24-AD05,time_correct_full_LSC24-QA05
LIFEXPLORE1,KIS,5,2,95,1.0,0.625,0.8333333333333334,187.391,38.723,23.254,93.432,52.229,49.273,77.969,19.924,70.655,196.772,29.772,113.881,inf,inf,7.694,17.331,196.772,29.772,113.881,187.391,180.0,38.723,300,7.694,23.254,17.331,93.432,52.229,49.273,77.969,19.924,70.655
SnapSeek1,KIS,6,0,95,0.0,1.0,1.0,177.263,52.759,67.105,132.188,34.799,inf,162.683,23.329,inf,124.926,61.405,143.702,58.319,inf,28.804,40.222,124.926,61.405,143.702,177.263,58.319,52.759,300,28.804,67.105,40.222,132.188,34.799,300.0,162.683,23.329,300.0
LIFEXPLORE2,KIS,5,0,96,1.0,1.0,0.8333333333333334,232.345,26.349,78.444,80.617,37.286,181.573,32.578,19.373,41.26,224.675,175.762,140.12,45.542,inf,21.566,17.492,224.675,175.762,140.12,232.345,45.542,26.349,300,21.566,78.444,17.492,80.617,37.286,181.573,32.578,19.373,41.26
VISIONE1,KIS,4,4,72,0.0,0.5,0.6666666666666666,185.52,62.068,32.913,123.5,29.759,122.021,inf,17.9,227.492,141.832,86.426,210.565,75.817,inf,81.538,25.509,141.832,86.426,210.565,185.52,75.817,62.068,300,81.538,32.913,25.509,123.5,29.759,122.021,300.0,17.9,227.492
Libro1,KIS,5,1,100,0.0,0.8333333333333334,0.8333333333333334,201.286,62.313,54.071,79.473,49.182,148.371,64.2,45.716,45.04,135.646,inf,inf,63.963,inf,17.533,23.983,135.646,180.0,300.0,201.286,63.963,62.313,300,17.533,54.071,23.983,79.473,49.182,148.371,64.2,45.716,45.04
Exquisitor,KIS,5,2,84,0.0,0.7142857142857143,0.8333333333333334,214.261,238.876,36.612,90.338,23.291,inf,74.162,12.801,34.096,256.351,27.71,inf,48.231,inf,155.44,21.061,256.351,27.71,300.0,214.261,48.231,238.876,300,155.44,36.612,21.061,90.338,23.291,300.0,74.162,12.801,34.096
PraK1,KIS,5,4,58,0.0,0.5555555555555556,0.8333333333333334,185.781,69.434,41.243,95.808,49.145,110.559,294.992,28.041,65.214,inf,147.847,inf,78.163,inf,187.843,27.724,300.0,147.847,300.0,185.781,78.163,69.434,300,187.843,41.243,27.724,95.808,49.145,110.559,294.992,28.041,65.214
VISIONE3,KIS,4,3,71,0.0,0.5714285714285714,0.6666666666666666,204.494,92.556,49.489,89.806,32.295,inf,inf,17.409,66.329,105.514,40.3,249.004,52.721,inf,164.442,46.005,105.514,40.3,249.004,204.494,52.721,92.556,300,164.442,49.489,46.005,89.806,32.295,300.0,300.0,17.409,66.329
Libro2,KIS,4,1,77,0.0,0.8,0.6666666666666666,inf,64.948,38.333,91.732,57.045,259.249,141.371,51.286,47.198,142.435,83.641,inf,inf,inf,94.792,30.181,142.435,83.641,300.0,300.0,180.0,64.948,300,94.792,38.333,30.181,91.732,57.045,259.249,141.371,51.286,47.198
LIFEXPLORE3,KIS,4,1,84,3.0,0.6666666666666666,0.6666666666666666,167.017,25.762,48.621,50.966,111.535,219.211,58.331,14.414,41.172,inf,inf,141.417,120.632,inf,10.286,18.702,300.0,180.0,141.417,167.017,120.632,25.762,300,10.286,48.621,18.702,50.966,111.535,219.211,58.331,14.414,41.172
