team,task,correct,incorrect,norm_score,top_3,precision,recall,time_correct_LSC24-KISJ07,time_correct_LSC24-AD09,time_correct_LSC24-QA11,time_correct_LSC24-KISJ08,time_correct_LSC24-QA12,time_correct_LSC24-AD10,time_correct_LSC24-KISJ09,time_correct_LSC24-AD11,time_correct_full_LSC24-KISJ07,time_correct_full_LSC24-AD09,time_correct_full_LSC24-QA11,time_correct_full_LSC24-KISJ08,time_correct_full_LSC24-QA12,time_correct_full_LSC24-AD10,time_correct_full_LSC24-KISJ09,time_correct_full_LSC24-QA13,time_correct_full_LSC24-AD11,time_correct_full_LSC24-KISJ10,time_correct_full_LSC24-QA14,time_correct_full_LSC24-AD12
PraK1,KIS,5,0,100,2.0,1.0,1.25,115.959,43.718,188.97,75.875,287.376,34.978,26.431,30.02,115.959,43.718,188.97,75.875,287.376,34.978,26.431,91.863,30.02,36.928,300,44.724
LIFEXPLORE1,KIS,3,0,73,2.0,1.0,0.75,inf,19.98,57.106,183.984,151.718,20.446,22.471,44.24,300.0,19.98,57.106,183.984,151.718,20.446,22.471,68.47,44.24,34.771,300,42.324
Libro1,KIS,3,4,76,0.0,0.42857142857142855,0.75,inf,50.177,88.891,80.303,144.863,36.739,39.214,33.557,300.0,50.177,88.891,80.303,144.863,36.739,39.214,85.232,33.557,52.794,300,32.72
Voxento,KIS,4,1,96,1.0,0.8,1.0,160.401,52.759,124.533,116.693,176.912,50.564,25.579,154.262,160.401,52.759,124.533,116.693,176.912,50.564,25.579,154.193,154.262,48.918,300,27.311
EAGLE1,KIS,4,1,80,3.0,0.8,1.0,inf,48.008,95.237,34.793,120.512,31.486,32.608,29.951,300.0,48.008,95.237,34.793,120.512,31.486,32.608,186.106,29.951,26.457,300,26.614
Memento,KIS,3,1,76,0.0,0.75,0.75,inf,33.241,182.352,74.026,123.346,33.547,54.912,41.817,300.0,33.241,182.352,74.026,123.346,33.547,54.912,246.933,41.817,40.178,300,50.942
VitaChronicle1,KIS,3,0,77,1.0,1.0,0.75,inf,171.361,155.947,41.952,157.701,44.047,53.107,25.656,300.0,171.361,155.947,41.952,157.701,44.047,53.107,178.231,25.656,58.224,300,67.189
Exquisitor,KIS,3,0,74,0.0,1.0,0.75,inf,inf,182.147,80.698,134.23,40.853,56.819,63.713,300.0,180.0,182.147,80.698,134.23,40.853,56.819,300.0,63.713,66.567,300,78.52
LifeLens1,KIS,3,2,73,0.0,0.6,0.75,inf,61.412,73.054,63.613,161.049,52.08,50.412,50.287,300.0,61.412,73.054,63.613,161.049,52.08,50.412,300.0,50.287,115.305,300,40.682
LifeSeeker1,KIS,3,3,67,0.0,0.5,0.75,inf,30.685,217.32,131.289,295.672,56.705,124.286,28.561,300.0,30.685,217.32,131.289,295.672,56.705,124.286,97.568,28.561,37.781,300,180.0
VISIONE1,KIS,3,0,69,0.0,1.0,0.75,inf,38.146,205.415,225.155,128.57,27.118,44.726,129.661,300.0,38.146,205.415,225.155,128.57,27.118,44.726,300.0,129.661,47.733,300,38.642
LifeInsight,KIS,4,2,79,0.0,0.6666666666666666,1.0,232.919,90.827,inf,57.617,inf,68.2,193.616,inf,232.919,90.827,300.0,57.617,300.0,68.2,193.616,229.385,180.0,96.777,300,84.495
CollaXRSearch1,KIS,3,4,66,0.0,0.42857142857142855,0.75,inf,93.303,239.23,69.0,inf,73.259,120.215,38.435,300.0,93.303,239.23,69.0,300.0,73.259,120.215,112.678,38.435,190.064,300,47.585
MemoriEase,KIS,2,4,46,0.0,0.3333333333333333,0.5,inf,33.321,inf,inf,170.214,32.679,42.471,54.3,300.0,33.321,300.0,300.0,170.214,32.679,42.471,161.353,54.3,166.086,300,46.538
vitrivr,KIS,3,0,74,0.0,1.0,0.75,inf,31.642,inf,81.047,300.0,40.094,41.225,27.826,300.0,31.642,300.0,81.047,300.0,40.094,41.225,300.0,27.826,94.988,300,38.764
MyEachtra,KIS,4,2,63,2.0,0.5714285714285714,1.0,63.632,64.566,238.827,196.12,287.599,68.151,71.248,93.206,63.632,64.566,238.827,196.12,287.599,68.151,71.248,300.0,93.206,300.0,300,180.0
Lifegraph,KIS,3,3,63,1.0,0.42857142857142855,0.75,inf,39.779,300.0,53.178,251.625,76.288,298.328,inf,300.0,39.779,300.0,53.178,251.625,76.288,298.328,299.69,180.0,95.117,300,180.0
SnapSeek1,KIS,3,6,56,0.0,0.3,0.75,inf,28.578,293.5,75.445,270.631,52.125,218.147,inf,300.0,28.578,293.5,75.445,270.631,52.125,218.147,199.72,180.0,127.083,300,158.507
Retrospect1,KIS,2,1,41,0.0,0.6666666666666666,0.5,inf,116.739,86.985,78.429,170.525,inf,inf,inf,300.0,116.739,86.985,78.429,170.525,180.0,300.0,300.0,180.0,234.361,300,92.489
vitrivr-VR,KIS,2,11,26,0.0,0.15384615384615385,0.5,inf,inf,inf,155.087,inf,68.074,inf,115.793,300.0,180.0,300.0,155.087,300.0,68.074,300.0,300.0,115.793,120.145,300,180.0
PraK1,QA,3,5,69,1.0,0.375,0.75,115.959,43.718,188.97,75.875,287.376,34.978,26.431,30.02,115.959,43.718,188.97,75.875,287.376,34.978,26.431,91.863,30.02,36.928,300,44.724
LIFEXPLORE1,QA,3,1,100,2.0,0.75,0.75,inf,19.98,57.106,183.984,151.718,20.446,22.471,44.24,300.0,19.98,57.106,183.984,151.718,20.446,22.471,68.47,44.24,34.771,300,42.324
Libro1,QA,3,8,93,1.0,0.2727272727272727,0.75,inf,50.177,88.891,80.303,144.863,36.739,39.214,33.557,300.0,50.177,88.891,80.303,144.863,36.739,39.214,85.232,33.557,52.794,300,32.72
Voxento,QA,4,5,76,0.0,0.4444444444444444,1.0,160.401,52.759,124.533,116.693,176.912,50.564,25.579,154.262,160.401,52.759,124.533,116.693,176.912,50.564,25.579,154.193,154.262,48.918,300,27.311
EAGLE1,QA,4,1,92,1.0,0.8,1.0,inf,48.008,95.237,34.793,120.512,31.486,32.608,29.951,300.0,48.008,95.237,34.793,120.512,31.486,32.608,186.106,29.951,26.457,300,26.614
Memento,QA,3,1,82,1.0,0.75,0.75,inf,33.241,182.352,74.026,123.346,33.547,54.912,41.817,300.0,33.241,182.352,74.026,123.346,33.547,54.912,246.933,41.817,40.178,300,50.942
VitaChronicle1,QA,3,2,82,0.0,0.6,0.75,inf,171.361,155.947,41.952,157.701,44.047,53.107,25.656,300.0,171.361,155.947,41.952,157.701,44.047,53.107,178.231,25.656,58.224,300,67.189
Exquisitor,QA,2,3,58,0.0,0.4,0.5,inf,inf,182.147,80.698,134.23,40.853,56.819,63.713,300.0,180.0,182.147,80.698,134.23,40.853,56.819,300.0,63.713,66.567,300,78.52
