,team,task,task_type,score,incorrect,correct,time_till_correct
0,MyEachtra,LSC23-KIS01,KIS,96.39716666666666,0,1,21.617
1,Memento,LSC23-KIS01,KIS,94.24966666666666,0,1,34.502
2,e-LifeSeeker,LSC23-KIS01,KIS,92.09416666666667,0,1,47.435
3,LifeInsight,LSC23-KIS01,KIS,95.62233333333333,0,1,26.266
4,lifeXplore,LSC23-KIS01,KIS,89.92066666666666,0,1,60.476
5,2022 Baseline,LSC23-KIS01,KIS,96.63016666666667,0,1,20.219
6,MemoriEase,LSC23-KIS01,KIS,95.979,0,1,24.126
7,First,LSC23-KIS01,KIS,93.55933333333334,0,1,38.644
8,LifeGraph,LSC23-KIS01,KIS,90.78933333333333,0,1,55.264
9,LifeLens,LSC23-KIS01,KIS,94.71983333333333,0,1,31.681
10,Vitrivr-Hybrid,LSC23-KIS01,KIS,96.30216666666666,0,1,22.187
11,Memoria,LSC23-KIS01,KIS,90.46100000000001,0,1,57.234
12,Voxento,LSC23-KIS01,KIS,96.13,0,1,23.22
13,Memoria-MEO4J,LSC23-KIS01,KIS,91.32566666666666,0,1,52.046
14,MyEachtra,LSC23-AD01,AD,16.05351170568562,2,12,17.561
15,Memento,LSC23-AD01,AD,39.86778540554284,1,28,35.379
16,e-LifeSeeker,LSC23-AD01,AD,13.489409141583053,4,11,20.639
17,LifeInsight,LSC23-AD01,AD,45.28006267136702,6,34,51.345
18,lifeXplore,LSC23-AD01,AD,14.61352657004831,2,11,26.157
19,2022 Baseline,LSC23-AD01,AD,10.628019323671499,11,11,17.21
20,MemoriEase,LSC23-AD01,AD,22.90562036055143,5,18,22.469
21,First,LSC23-AD01,AD,5.260332796564681,13,7,44.652
22,LifeGraph,LSC23-AD01,AD,1.9323671497584543,2,2,39.344
23,LifeLens,LSC23-AD01,AD,6.521739130434782,4,6,18.16
24,Vitrivr-Hybrid,LSC23-AD01,AD,8.695652173913043,0,6,21.367
25,Memoria,LSC23-AD01,AD,15.942028985507246,0,11,75.79
26,Voxento,LSC23-AD01,AD,14.492753623188406,0,10,40.738
27,Memoria-MEO4J,LSC23-AD01,AD,0.4140786749482402,5,1,94.709
28,MyEachtra,LSC23-QA01,QA,92.81444444444445,0,1,25.868
29,Memento,LSC23-QA01,QA,58.23472222222222,1,1,149.635
30,e-LifeSeeker,LSC23-QA01,QA,91.91694444444444,0,1,29.099
31,LifeInsight,LSC23-QA01,QA,84.25833333333333,0,1,56.67
32,lifeXplore,LSC23-QA01,QA,88.2325,0,1,42.363
33,2022 Baseline,LSC23-QA01,QA,86.0338888888889,0,1,50.278
34,MemoriEase,LSC23-QA01,QA,81.78277777777778,0,1,65.582
35,First,LSC23-QA01,QA,84.97361111111111,0,1,54.095
36,LifeGraph,LSC23-QA01,QA,78.8761111111111,0,1,76.046
37,LifeLens,LSC23-QA01,QA,83.84583333333333,0,1,58.155
38,Vitrivr-Hybrid,LSC23-QA01,QA,83.2688888888889,0,1,60.232
39,Memoria,LSC23-QA01,QA,83.065,0,1,60.966
40,Voxento,LSC23-QA01,QA,87.39638888888888,0,1,45.373
41,Memoria-MEO4J,LSC23-QA01,QA,88.1886111111111,0,1,42.521
42,MyEachtra,LSC23-KIS02,KIS,96.422,0,1,21.468
43,Memento,LSC23-KIS02,KIS,91.43866666666666,1,1,50.168
44,e-LifeSeeker,LSC23-KIS02,KIS,95.60933333333332,0,1,26.344
45,LifeInsight,LSC23-KIS02,KIS,96.60966666666667,0,1,20.342
46,lifeXplore,LSC23-KIS02,KIS,96.99216666666666,0,1,18.047
47,2022 Baseline,LSC23-KIS02,KIS,95.55266666666667,0,1,26.684
48,MemoriEase,LSC23-KIS02,KIS,97.34766666666667,0,1,15.914
49,First,LSC23-KIS02,KIS,95.26983333333334,0,1,28.381
50,LifeGraph,LSC23-KIS02,KIS,88.67916666666667,0,1,67.925
51,LifeLens,LSC23-KIS02,KIS,84.781,0,1,91.314
52,Vitrivr-Hybrid,LSC23-KIS02,KIS,91.13033333333334,0,1,53.218
53,Memoria,LSC23-KIS02,KIS,91.00800000000001,0,1,53.952
54,Voxento,LSC23-KIS02,KIS,96.39166666666667,0,1,21.65
55,Memoria-MEO4J,LSC23-KIS02,KIS,91.70283333333333,0,1,49.783
56,MyEachtra,LSC23-AD02,AD,11.764705882352942,3,3,23.681
57,Memento,LSC23-AD02,AD,0.0,6,0,
58,e-LifeSeeker,LSC23-AD02,AD,39.54248366013072,14,11,26.636
59,LifeInsight,LSC23-AD02,AD,6.722689075630252,20,4,39.398
60,lifeXplore,LSC23-AD02,AD,7.843137254901961,2,2,19.911
61,2022 Baseline,LSC23-AD02,AD,13.235294117647058,2,3,15.627
62,MemoriEase,LSC23-AD02,AD,18.823529411764707,2,4,20.866
63,First,LSC23-AD02,AD,19.607843137254903,5,5,90.377
64,LifeGraph,LSC23-AD02,AD,0.0,0,0,
65,LifeLens,LSC23-AD02,AD,16.33986928104575,8,5,23.017
66,Vitrivr-Hybrid,LSC23-AD02,AD,0.0,7,0,
67,Memoria,LSC23-AD02,AD,0.0,0,0,
68,Voxento,LSC23-AD02,AD,0.0,19,0,
69,Memoria-MEO4J,LSC23-AD02,AD,1.3071895424836601,7,1,163.003
70,MyEachtra,LSC23-QA02,QA,90.3975,0,1,34.569
71,Memento,LSC23-QA02,QA,70.84833333333333,0,1,104.946
72,e-LifeSeeker,LSC23-QA02,QA,18.263333333333343,1,1,180
73,LifeInsight,LSC23-QA02,QA,0.0,1,0,
74,lifeXplore,LSC23-QA02,QA,0.0,3,0,
75,2022 Baseline,LSC23-QA02,QA,0.0,3,0,
76,MemoriEase,LSC23-QA02,QA,75.99166666666667,0,1,86.43
77,First,LSC23-QA02,QA,0.0,1,0,
78,LifeGraph,LSC23-QA02,QA,31.329722222222223,3,1,180
79,LifeLens,LSC23-QA02,QA,32.596111111111114,0,1,180
80,Vitrivr-Hybrid,LSC23-QA02,QA,0.0,3,0,
81,Memoria,LSC23-QA02,QA,0.0,1,0,
82,Voxento,LSC23-QA02,QA,21.53138888888888,0,1,180
83,Memoria-MEO4J,LSC23-QA02,QA,0.0,0,0,
84,MyEachtra,LSC23-KIS03,KIS,55.55116666666667,1,1,265.493
85,Memento,LSC23-KIS03,KIS,0.0,3,0,
86,e-LifeSeeker,LSC23-KIS03,KIS,80.0365,1,1,118.581
87,LifeInsight,LSC23-KIS03,KIS,53.15350000000001,2,1,278.679
88,lifeXplore,LSC23-KIS03,KIS,68.93783333333334,0,1,186.373
89,2022 Baseline,LSC23-KIS03,KIS,75.23066666666666,2,1,146.216
90,MemoriEase,LSC23-KIS03,KIS,0.0,4,0,
91,First,LSC23-KIS03,KIS,88.7695,0,1,67.383
92,LifeGraph,LSC23-KIS03,KIS,89.14933333333335,0,1,65.104
93,LifeLens,LSC23-KIS03,KIS,62.95883333333334,3,1,218.647
94,Vitrivr-Hybrid,LSC23-KIS03,KIS,0.0,0,0,
95,Memoria,LSC23-KIS03,KIS,85.67716666666666,0,1,85.937
96,Voxento,LSC23-KIS03,KIS,0.0,1,0,
97,Memoria-MEO4J,LSC23-KIS03,KIS,89.28,0,1,64.32
98,MyEachtra,LSC23-AD03,AD,50.5050505050505,1,5,14.475
99,Memento,LSC23-AD03,AD,44.44444444444444,6,6,23.549
100,e-LifeSeeker,LSC23-AD03,AD,29.629629629629633,4,4,35.792
101,LifeInsight,LSC23-AD03,AD,32.6797385620915,7,5,122.213
102,lifeXplore,LSC23-AD03,AD,66.66666666666667,0,6,19.123
103,2022 Baseline,LSC23-AD03,AD,46.29629629629629,2,5,16.266
104,MemoriEase,LSC23-AD03,AD,29.629629629629633,4,4,55.009
105,First,LSC23-AD03,AD,55.55555555555556,0,5,46.215
106,LifeGraph,LSC23-AD03,AD,46.29629629629629,2,5,37.707
107,LifeLens,LSC23-AD03,AD,39.50617283950617,1,4,29.694
108,Vitrivr-Hybrid,LSC23-AD03,AD,55.55555555555556,0,5,31.473
109,Memoria,LSC23-AD03,AD,0.0,0,0,
110,Voxento,LSC23-AD03,AD,35.55555555555556,2,4,23.823
111,Memoria-MEO4J,LSC23-AD03,AD,0.0,2,0,
112,MyEachtra,LSC23-QA03,QA,65.31388888888888,1,1,124.15
113,Memento,LSC23-QA03,QA,80.63055555555556,0,1,69.73
114,e-LifeSeeker,LSC23-QA03,QA,52.22388888888889,2,1,170.554
115,LifeInsight,LSC23-QA03,QA,62.99,0,1,133.236
116,lifeXplore,LSC23-QA03,QA,84.94166666666666,0,1,54.21
117,2022 Baseline,LSC23-QA03,QA,51.57083333333333,1,1,173.625
118,MemoriEase,LSC23-QA03,QA,86.68805555555556,0,1,47.923
119,First,LSC23-QA03,QA,41.62083333333334,0,1,180
120,LifeGraph,LSC23-QA03,QA,67.90472222222222,0,1,115.543
121,LifeLens,LSC23-QA03,QA,34.983333333333334,0,1,180
122,Vitrivr-Hybrid,LSC23-QA03,QA,61.29333333333334,0,1,139.344
123,Memoria,LSC23-QA03,QA,51.828611111111115,2,1,171.977
124,Voxento,LSC23-QA03,QA,51.32277777777777,1,1,174.518
125,Memoria-MEO4J,LSC23-QA03,QA,44.583333333333336,2,1,180
126,MyEachtra,LSC23-KIS04,KIS,97.74566666666666,0,1,13.526
127,Memento,LSC23-KIS04,KIS,81.35116666666666,2,1,109.493
128,e-LifeSeeker,LSC23-KIS04,KIS,87.83666666666667,2,1,70.58
129,LifeInsight,LSC23-KIS04,KIS,85.89816666666667,0,1,84.611
130,lifeXplore,LSC23-KIS04,KIS,97.43233333333333,0,1,15.406
131,2022 Baseline,LSC23-KIS04,KIS,97.64433333333334,0,1,14.134
132,MemoriEase,LSC23-KIS04,KIS,94.12983333333334,0,1,35.221
133,First,LSC23-KIS04,KIS,77.923,0,1,132.462
134,LifeGraph,LSC23-KIS04,KIS,86.0775,0,1,83.535
135,LifeLens,LSC23-KIS04,KIS,75.39533333333333,2,1,145.228
136,Vitrivr-Hybrid,LSC23-KIS04,KIS,75.17666666666666,1,1,147.74
137,Memoria,LSC23-KIS04,KIS,70.217,0,1,178.698
138,Voxento,LSC23-KIS04,KIS,0.0,1,0,
139,Memoria-MEO4J,LSC23-KIS04,KIS,82.4875,1,1,103.875
140,MyEachtra,LSC23-AD04,AD,18.212576896787425,6,73,15.203
141,Memento,LSC23-AD04,AD,22.501562608514476,7,90,23.052
142,e-LifeSeeker,LSC23-AD04,AD,13.766233766233766,0,53,16.259
143,LifeInsight,LSC23-AD04,AD,14.549932825794894,2,57,21.053
144,lifeXplore,LSC23-AD04,AD,13.006253006253004,4,52,32.673
145,2022 Baseline,LSC23-AD04,AD,20.28756957328386,6,81,20.193
146,MemoriEase,LSC23-AD04,AD,21.13950565563469,12,87,12.976
147,First,LSC23-AD04,AD,8.34054834054834,4,34,37.093
148,LifeGraph,LSC23-AD04,AD,20.409052025818493,5,81,30.259
149,LifeLens,LSC23-AD04,AD,11.04045379907449,1,43,35.397
150,Vitrivr-Hybrid,LSC23-AD04,AD,21.13950565563469,12,87,17.589
151,Memoria,LSC23-AD04,AD,14.030612244897958,2,55,37.093
152,Voxento,LSC23-AD04,AD,10.476190476190476,8,44,26.292
153,Memoria-MEO4J,LSC23-AD04,AD,9.923258559622196,6,41,17.586
154,MyEachtra,LSC23-QA04,QA,82.86833333333334,0,1,61.674
