,team,task,task_type,score,incorrect,correct,time_till_correct
0,PraK1,LSC24-KISJ07,KIS,80.67349999999999,0,1,115.959
1,LIFEXPLORE1,LSC24-KISJ07,KIS,0.0,0,0,inf
2,Libro1,LSC24-KISJ07,KIS,0.0,4,0,inf
3,Voxento,LSC24-KISJ07,KIS,73.2665,0,1,160.401
4,EAGLE1,LSC24-KISJ07,KIS,0.0,1,0,inf
5,Memento,LSC24-KISJ07,KIS,0.0,1,0,inf
6,VitaChronicle1,LSC24-KISJ07,KIS,0.0,0,0,inf
7,Exquisitor,LSC24-KISJ07,KIS,0.0,0,0,inf
8,LifeLens1,LSC24-KISJ07,KIS,0.0,2,0,inf
9,LifeSeeker1,LSC24-KISJ07,KIS,0.0,2,0,inf
10,VISIONE1,LSC24-KISJ07,KIS,0.0,0,0,inf
11,LifeInsight,LSC24-KISJ07,KIS,51.180166666666665,1,1,232.919
12,CollaXRSearch1,LSC24-KISJ07,KIS,0.0,4,0,inf
13,MemoriEase,LSC24-KISJ07,KIS,0.0,3,0,inf
14,vitrivr,LSC24-KISJ07,KIS,0.0,0,0,inf
15,MyEachtra,LSC24-KISJ07,KIS,89.39466666666667,0,2,63.632
16,Lifegraph,LSC24-KISJ07,KIS,0.0,3,0,inf
17,SnapSeek1,LSC24-KISJ07,KIS,0.0,3,0,inf
18,Retrospect1,LSC24-KISJ07,KIS,0.0,1,0,inf
19,vitrivr-VR,LSC24-KISJ07,KIS,0.0,0,0,inf
20,PraK1,LSC24-AD09,AD,129.33949215793731,182,704,43.718
21,LIFEXPLORE1,LSC24-AD09,AD,14.119409866297833,4,70,19.98
22,Libro1,LSC24-AD09,AD,45.981577940613874,64,250,50.177
23,Voxento,LSC24-AD09,AD,11.100536754349234,1,54,52.759
24,EAGLE1,LSC24-AD09,AD,5.5390897714549165,5,29,48.008
25,Memento,LSC24-AD09,AD,9.97446536865624,4,50,33.241
26,VitaChronicle1,LSC24-AD09,AD,0.8298755186721992,0,4,171.361
27,Exquisitor,LSC24-AD09,AD,0.0,0,0,inf
28,LifeLens1,LSC24-AD09,AD,11.561803144494311,19,64,61.412
29,LifeSeeker1,LSC24-AD09,AD,6.570795202637413,5,34,30.685
30,VISIONE1,LSC24-AD09,AD,7.267018055399798,2,36,38.146
31,LifeInsight,LSC24-AD09,AD,14.231859123570489,14,75,90.827
