Unnamed: 0,team,task,task_type,score,incorrect,correct,time_till_correct,novice,year,precision
0,MyScéal,LSC22-KIS01,KIS,93.67233333333334,0,1,37.966,False,2022,1.0
1,LifeSeeker,LSC22-KIS01,KIS,96.76283333333332,0,1,19.423,False,2022,1.0
2,MEMENTO,LSC22-KIS01,KIS,93.18366666666668,0,1,40.898,False,2022,1.0
3,FIRST,LSC22-KIS01,KIS,90.45333333333332,0,1,57.28,False,2022,1.0
4,Voxento,LSC22-KIS01,KIS,89.96933333333334,2,1,57.784,False,2022,0.3333333333333333
5,vitrivr,LSC22-KIS01,KIS,0.0,0,0,,False,2022,0.0
6,lifeXplore,LSC22-KIS01,KIS,0.0,1,0,,False,2022,0.0
7,vitrivr-VR,LSC22-KIS01,KIS,0.0,1,0,,False,2022,0.0
8,MEMORIA,LSC22-KIS01,KIS,0.0,0,0,,False,2022,0.0
9,MyScéal,LSC22-QA01,QA,48.90055555555556,0,1,180.0,False,2022,1.0
10,LifeSeeker,LSC22-QA01,QA,49.00805555555555,0,1,180.0,False,2022,1.0
11,MEMENTO,LSC22-QA01,QA,60.86,0,1,140.904,False,2022,1.0
12,FIRST,LSC22-QA01,QA,0.0,0,0,,False,2022,0.0
13,Voxento,LSC22-QA01,QA,0.0,0,0,,False,2022,0.0
14,vitrivr,LSC22-QA01,QA,0.0,0,0,,False,2022,0.0
15,lifeXplore,LSC22-QA01,QA,0.0,0,0,,False,2022,0.0
16,vitrivr-VR,LSC22-QA01,QA,0.0,1,0,,False,2022,0.0
17,MEMORIA,LSC22-QA01,QA,0.0,1,0,,False,2022,0.0
18,MyScéal,LSC22-AH01,AD,43.25754325754325,1,55,17.912,False,2022,0.9821428571428571
19,LifeSeeker,LSC22-AH01,AD,57.15358215358215,2,73,24.762,False,2022,0.9733333333333334
20,MEMENTO,LSC22-AH01,AD,55.95515595515596,1,71,18.039,False,2022,0.9861111111111112
21,FIRST,LSC22-AH01,AD,10.761366693570084,19,20,40.519,False,2022,0.5128205128205128
22,Voxento,LSC22-AH01,AD,39.68253968253968,0,50,39.681,False,2022,1.0
23,vitrivr,LSC22-AH01,AD,33.714896214896214,10,47,17.966,False,2022,0.8245614035087719
24,lifeXplore,LSC22-AH01,AD,6.349206349206349,0,8,81.279,False,2022,1.0
25,vitrivr-VR,LSC22-AH01,AD,8.73015873015873,0,11,21.118,False,2022,1.0
26,MEMORIA,LSC22-AH01,AD,9.523809523809524,0,12,98.103,False,2022,1.0
27,MyScéal,LSC22-KIS02,KIS,64.75883333333333,5,1,205.447,False,2022,0.16666666666666666
28,LifeSeeker,LSC22-KIS02,KIS,63.518,1,1,217.692,False,2022,0.5
29,MEMENTO,LSC22-KIS02,KIS,58.23,4,1,245.82,False,2022,0.2
30,FIRST,LSC22-KIS02,KIS,62.772,2,1,220.968,False,2022,0.3333333333333333
31,Voxento,LSC22-KIS02,KIS,78.64483333333334,0,1,128.131,False,2022,1.0
32,vitrivr,LSC22-KIS02,KIS,0.0,3,0,,False,2022,0.0
33,lifeXplore,LSC22-KIS02,KIS,64.26233333333333,2,1,212.026,False,2022,0.3333333333333333
34,vitrivr-VR,LSC22-KIS02,KIS,51.938500000000005,1,1,287.169,False,2022,0.5
35,MEMORIA,LSC22-KIS02,KIS,0.0,0,0,,False,2022,0.0
36,MyScéal,LSC22-QA02,QA,90.77916666666668,0,1,33.195,False,2022,1.0
