,team,year,"Ensemble Models (CLIP, BLIP2)",Integration of LLMs,Conversational Interfaces
0,LifeInsight,2024,2,0,0
1,vitrivr-VR,2024,1,0,0
2,MemoriEase,2024,2,2,2
4,SnapSeek,2024,1,0,0
7,LifeLens,2024,1,0,0
8,vitrivr,2024,2,0,0
9,LifeSeeker,2024,1,1,1
10,VISIONE,2024,1,0,0
11,lifeXplore,2024,2,0,0
12,Libro,2024,1,0,0
13,CollaXRSearch,2024,0,0,1
14,Memento,2024,1,2,2
15,LifeGraph,2024,1,1,0
16,MyEachtra,2024,0,0,1
17,Memoria,2024,0,1,0
18,Voxento,2024,0,0,2
19,PraK,2024,1,0,0
20,Exquisitor,2024,1,1,2
