,team,task,task_type,score,incorrect,correct,time_till_correct
0,LIFEXPLORE1,LSC24-KISJ02,KIS,57.20466666666667,1,1,196.772
1,SnapSeek1,LSC24-KISJ02,KIS,79.179,0,1,124.926
2,LIFEXPLORE2,LSC24-KISJ02,KIS,62.55416666666667,0,1,224.675
3,VISIONE1,LSC24-KISJ02,KIS,76.36133333333333,0,1,141.832
4,Libro1,LSC24-KISJ02,KIS,77.39233333333334,0,1,135.646
5,Exquisitor,LSC24-KISJ02,KIS,47.27483333333333,1,1,256.351
6,PraK1,LSC24-KISJ02,KIS,0.0,0,0,inf
7,VISIONE3,LSC24-KISJ02,KIS,82.41433333333333,0,1,105.514
8,Libro2,LSC24-KISJ02,KIS,76.26083333333334,0,1,142.435
9,LIFEXPLORE3,LSC24-KISJ02,KIS,0.0,0,0,inf
10,SnapSeek2,LSC24-KISJ02,KIS,78.00783333333334,0,1,131.953
11,SnapSeek4,LSC24-KISJ02,KIS,72.35583333333332,0,1,165.865
12,SnapSeek5,LSC24-KISJ02,KIS,79.32966666666667,0,1,124.022
13,EAGLE1,LSC24-KISJ02,KIS,79.7885,0,1,121.269
14,MEMORIA,LSC24-KISJ02,KIS,64.7325,1,1,151.605
15,Retrospect1,LSC24-KISJ02,KIS,72.00383333333333,0,1,167.977
16,PraK2,LSC24-KISJ02,KIS,62.596999999999994,0,1,224.418
17,LifeInsight,LSC24-KISJ02,KIS,66.44,0,2,201.35
18,VitaChronicle1,LSC24-KISJ02,KIS,0.0,1,0,inf
19,CollaXRSearch1,LSC24-KISJ02,KIS,51.280499999999996,1,1,232.317
20,vitrivr-VR,LSC24-KISJ02,KIS,42.771166666666666,2,1,223.373
21,MemoriEase,LSC24-KISJ02,KIS,82.84383333333334,1,1,102.937
22,Libro3,LSC24-KISJ02,KIS,76.67383333333333,0,1,139.957
23,LifeSeeker1,LSC24-KISJ02,KIS,0.0,0,0,inf
24,SnapSeek3,LSC24-KISJ02,KIS,77.70566666666667,0,1,133.766
25,VISIONE2,LSC24-KISJ02,KIS,86.22,0,1,82.68
26,Memento,LSC24-KISJ02,KIS,61.068,0,1,233.592
27,EAGLE2,LSC24-KISJ02,KIS,0.0,0,0,inf
28,LifeLens1,LSC24-KISJ02,KIS,0.0,2,0,inf
29,Lifegraph,LSC24-KISJ02,KIS,64.814,0,1,211.116
30,vitrivr,LSC24-KISJ02,KIS,0.0,0,0,inf
31,Voxento,LSC24-KISJ02,KIS,80.33133333333333,0,1,118.012
32,MyEachtra,LSC24-KISJ02,KIS,0.0,0,0,inf
33,PraK3,LSC24-KISJ02,KIS,82.92983333333333,0,1,102.421
34,LifeSeeker2,LSC24-KISJ02,KIS,0.0,0,0,inf
35,LIFEXPLORE1,LSC24-AD01,AD,79.36507936507937,1,10,29.772
36,SnapSeek1,LSC24-AD01,AD,75.0,0,9,61.405
37,LIFEXPLORE2,LSC24-AD01,AD,11.111111111111112,2,2,175.762
38,VISIONE1,LSC24-AD01,AD,58.333333333333336,0,7,86.426
39,Libro1,LSC24-AD01,AD,0.0,1,0,inf
40,Exquisitor,LSC24-AD01,AD,66.66666666666667,0,8,27.71
41,PraK1,LSC24-AD01,AD,41.666666666666664,0,5,147.847
42,VISIONE3,LSC24-AD01,AD,54.444444444444436,1,7,40.3
43,Libro2,LSC24-AD01,AD,58.333333333333336,0,7,83.641
44,LIFEXPLORE3,LSC24-AD01,AD,0.0,0,0,inf
45,SnapSeek2,LSC24-AD01,AD,51.041666666666664,2,7,60.492
46,SnapSeek4,LSC24-AD01,AD,16.666666666666668,3,3,94.931
47,SnapSeek5,LSC24-AD01,AD,31.41025641025641,12,7,80.522
48,EAGLE1,LSC24-AD01,AD,0.0,5,0,inf
49,MEMORIA,LSC24-AD01,AD,0.0,1,0,inf
50,Retrospect1,LSC24-AD01,AD,41.666666666666664,0,5,155.003
51,PraK2,LSC24-AD01,AD,0.0,8,0,inf
52,LifeInsight,LSC24-AD01,AD,0.0,103,0,inf
53,VitaChronicle1,LSC24-AD01,AD,4.166666666666667,2,1,171.867
54,CollaXRSearch1,LSC24-AD01,AD,71.05263157894737,1,9,91.557
55,vitrivr-VR,LSC24-AD01,AD,0.0,4,0,inf
56,MemoriEase,LSC24-AD01,AD,42.857142857142854,2,6,105.593
57,Libro3,LSC24-AD01,AD,6.818181818181819,180,9,79.063
58,LifeSeeker1,LSC24-AD01,AD,0.0,1,0,inf
