team,task,correct,incorrect,norm_score,top_3,precision,recall,time_correct_LSC23-KIS01,time_correct_LSC23-AD01,time_correct_LSC23-QA01,time_correct_LSC23-KIS02,time_correct_LSC23-AD02,time_correct_LSC23-QA02,time_correct_LSC23-KIS03,time_correct_LSC23-AD03,time_correct_LSC23-QA03,time_correct_LSC23-KIS04,time_correct_LSC23-AD04,time_correct_LSC23-QA04,time_correct_LSC23-KIS05,time_correct_LSC23-AD05,time_correct_LSC23-KIS06,time_correct_LSC23-AD06,time_correct_LSC23-QA06,time_correct_full_LSC23-KIS01,time_correct_full_LSC23-AD01,time_correct_full_LSC23-QA01,time_correct_full_LSC23-KIS02,time_correct_full_LSC23-AD02,time_correct_full_LSC23-QA02,time_correct_full_LSC23-KIS03,time_correct_full_LSC23-AD03,time_correct_full_LSC23-QA03,time_correct_full_LSC23-KIS04,time_correct_full_LSC23-AD04,time_correct_full_LSC23-QA04,time_correct_full_LSC23-KIS05,time_correct_full_LSC23-AD05,time_correct_full_LSC23-QA05,time_correct_full_LSC23-KIS06,time_correct_full_LSC23-AD06,time_correct_full_LSC23-QA06
MyEachtra,KIS,6,1,95,4.0,0.8571428571428571,1.0,21.617,17.561,25.868,21.468,23.681,34.569,265.493,14.475,124.15,13.526,15.203,61.674,75.256,11.984,14.927,25.854,50.671,21.617,17.561,25.868,21.468,23.681,34.569,265.493,14.475,124.15,13.526,15.203,61.674,75.256,11.984,180,14.927,25.854,50.671
Memento,KIS,5,7,78,0.0,0.4166666666666667,0.8333333333333334,34.502,35.379,149.635,50.168,,104.946,,23.549,69.73,109.493,23.052,76.497,164.815,25.75,27.315,23.464,54.868,34.502,35.379,149.635,50.168,180.0,104.946,300.0,23.549,69.73,109.493,23.052,76.497,164.815,25.75,180,27.315,23.464,54.868
e-LifeSeeker,KIS,5,6,81,0.0,0.45454545454545453,0.8333333333333334,47.435,20.639,29.099,26.344,26.636,180.0,118.581,35.792,170.554,70.58,16.259,64.559,,21.906,30.386,17.193,59.532,47.435,20.639,29.099,26.344,26.636,180.0,118.581,35.792,170.554,70.58,16.259,64.559,300.0,21.906,180,30.386,17.193,59.532
LifeInsight,KIS,6,3,90,1.0,0.6666666666666666,1.0,26.266,51.345,56.67,20.342,39.398,,278.679,122.213,133.236,84.611,21.053,127.794,154.257,31.831,17.652,19.491,54.981,26.266,51.345,56.67,20.342,39.398,180.0,278.679,122.213,133.236,84.611,21.053,127.794,154.257,31.831,180,17.652,19.491,54.981
lifeXplore,KIS,6,0,96,4.0,1.0,1.0,60.476,26.157,42.363,18.047,19.911,,186.373,19.123,54.21,15.406,32.673,180.0,82.628,18.604,15.197,38.321,,60.476,26.157,42.363,18.047,19.911,180.0,186.373,19.123,54.21,15.406,32.673,180.0,82.628,18.604,180,15.197,38.321,180.0
E-Myscéal,KIS,6,2,100,3.0,0.75,1.0,20.219,17.21,50.278,26.684,15.627,,146.216,16.266,173.625,14.134,20.193,62.369,17.949,14.501,18.477,16.717,73.132,20.219,17.21,50.278,26.684,15.627,180.0,146.216,16.266,173.625,14.134,20.193,62.369,17.949,14.501,180,18.477,16.717,73.132
MemoriEase,KIS,4,8,69,2.0,0.3333333333333333,0.6666666666666666,24.126,22.469,65.582,15.914,20.866,86.43,,55.009,47.923,35.221,12.976,174.81,,16.377,16.58,15.885,62.157,24.126,22.469,65.582,15.914,20.866,86.43,300.0,55.009,47.923,35.221,12.976,174.81,300.0,16.377,180,16.58,15.885,62.157
First,KIS,5,1,81,1.0,0.8333333333333334,0.8333333333333334,38.644,44.652,54.095,28.381,90.377,,67.383,46.215,180.0,132.462,37.093,64.303,,48.17,21.776,51.841,,38.644,44.652,54.095,28.381,90.377,180.0,67.383,46.215,180.0,132.462,37.093,64.303,300.0,48.17,180,21.776,51.841,180.0
LifeGraph,KIS,5,2,80,1.0,0.7142857142857143,0.8333333333333334,55.264,39.344,76.046,67.925,,180.0,65.104,37.707,115.543,83.535,30.259,71.768,,40.74,34.874,23.178,,55.264,39.344,76.046,67.925,180.0,180.0,65.104,37.707,115.543,83.535,30.259,71.768,300.0,40.74,180,34.874,23.178,180.0
LifeLens,KIS,5,5,74,0.0,0.5,0.8333333333333334,31.681,18.16,58.155,91.314,23.017,180.0,218.647,29.694,180.0,145.228,35.397,180.0,,25.514,25.453,29.656,,31.681,18.16,58.155,91.314,23.017,180.0,218.647,29.694,180.0,145.228,35.397,180.0,300.0,25.514,180,25.453,29.656,180.0
Vitrivr-Hybrid,KIS,4,7,64,1.0,0.36363636363636365,0.6666666666666666,22.187,21.367,60.232,53.218,,,,31.473,139.344,147.74,17.589,74.667,,20.071,19.626,25.404,180.0,22.187,21.367,60.232,53.218,180.0,180.0,300.0,31.473,139.344,147.74,17.589,74.667,300.0,20.071,180,19.626,25.404,180.0
