User	Query	Type	Wrong submissions	Time to correct	Score	System
1	LSC20-52-5	Location	1	N/A 	0.00	A
1	LSC22-117-3	Object	1	59.436	73.49	A
1	LSC20-58-3 	Counting	0	52.587	85.39	A
1	LSC20-67-1	Date	1	65.02	71.94	A
1	LSC20-67-3	Frequency	5	129.3	14.08	A
1	LSC22-QA3-1	OCR	0	23.931	93.35	A
1	LSC20-58-2	Color	0	27.799	92.28	A
1	LSC20-67-2	Duration	0	63.128	82.46	A
1	LSC20-74-2	Date	6	48.515	26.52	B
1	LSC21-82-2	Frequency	0	31.951	91.12	B
1	LSC20-52-2	Color	0	32.017	91.11	B
1	Random-2	OCR	2	89.414	55.16	B
1	LSC22-116-5	Location	0	29.987	91.67	B
1	LSC20-52-3	Object	0	44.694	87.59	B
1	LSC21-79-4	Counting	0	33.31	90.75	B
1	LSC22-108-4	Duration	0	41.673	88.42	B
2	LSC22-121-2	Duration	1	null	0.00	A
2	LSC20-56-4	Object	0	48.369	86.56	A
2	LSC21-76-2	Counting	0	null	0.00	A
2	LSC20-61-4	Date	0	33.049	90.82	A
2	LSC22-114-2	Frequency	2	114.476	48.20	A
2	LSC22-120-4	Color	0	25.388	92.95	A
2	LSC20-62-1	Location	1	51.385	75.73	A
2	LSC22-QA6-1	OCR	0	95	73.61	A
2	LSC23-QA5-1	OCR	0	null	0.00	B
2	LSC23-QA10-1	Frequency	0	74.99	79.17	B
2	LSC20-52-4	Duration	0	44.802	87.56	B
2	LSC20-54-1	Date	0	45.336	87.41	B
2	LSC20-58-3	Counting	0	68.681	80.92	B
2	LSC21-79-3	Location	0	35.592	90.11	B
2	LSC20-51-4	Color	2	162.572	34.84	B
2	LSC20-71-1	Object	0	25.96	92.79	B
3	LSC20-69-1	Frequency	1	105.848	60.6	A
3	LSC22-118-2	Date	0	28.544	92.07	A
3	LSC20-59-2	Counting	0	61.418	82.94	A
3	LSC20-66-5	Location	0	61.536	82.91	A
3	LSC21-83-2	Duration	2	null	0	A
3	LSC22-QA3-1	OCR	0	40.616	88.72	A
3	LSC20-52-2	Color	2	61.061	63.04	A
3	LSC20-54-2	Object	2	null	0	A
3	LSC21-77-1	OCR	0	103.267	71.31	B
3	LSC20-68-6	Duration	0	null	0	B
3	LSC22-116-3	Location	0	49.941	86.13	B
3	LSC23-QA6-1	Date	0	31.619	91.22	B
3	LSC20-61-3	Color	1	164.425	44.33	B
3	LSC21-76-2	Counting	0	78.961	78.07	B
3	LSC20-70-5	Frequency	2	178.216	30.5	B
3	LSC22-113-3	Object	0	53.434	85.16	B
4	LSC21-75-4	Duration	1	171.039	42.49	A
4	LSC20-54-3	Color	0	23.897	93.36	A
4	LSC22-QA8-1	OCR	0	23.433	93.49	A
4	LSC22-109-3	Counting	0	46.794	87	A
4	LSC20-70-5	Frequency	0	76.893	78.64	A
4	LSC22-111-1	Object	1	131.917	53.36	A
4	LSC21-76-3	Location	2	null	0	A
4	LSC22-QA1-1	Date	2	null	0	A
4	LSC20-66-3	Frequency	2	163.735	34.52	B
4	LSC23-QA1-1	Color	0	43.247	87.99	B
4	LSC20-62-2	Duration	0	150.72	58.13	B
4	LSC21-78-2	OCR	0	53.46	85.15	B
4	LSC22-117-3	Object	0	51.975	85.56	B
4	LSC22-114-6	Date	0	70.813	80.33	B
4	LSC20-72-3	Location	1	173.611	41.77	B
4	LSC20-49-3	Counting	1	111.963	58.9	B
5	LSC22-118-1	OCR	0	92.694	74.25	B
5	LSC22-121-1	Location	2	null	0	B
5	LSC22-115-2	Color	0	42.979	88.06	B
5	LSC21-76-2	Counting	0	54.854	84.76	B
